2-69	004260
2-69	000040
2-69	001120
2-69	004290
2-69	000050
2-69	193530
2-69	038140
2-69	527370
2-70	040620
2-70	109810
2-70	152800
2-70	035460
2-70	040660
2-70	213280
2-70	169180
2-70	01002490
2-70	527370
2-70	003130
2-71	224330
2-71	031600
2-71	040620
2-71	085680
2-71	152800
2-71	035460
2-71	032250
2-71	527370
2-71	01002490
2-71	01024430
2-72	287830
2-72	032260
2-72	341960
2-72	152800
2-72	001230
2-72	342170
2-72	254530
2-72	243880
2-72	527370
2-72	003130
2-73	000070
2-73	002690
2-73	000100
2-73	032250
2-73	032260
2-73	003030
2-73	003020
2-73	080300
2-73	342060
2-73	080350
2-74	032240
2-74	084160
2-74	414320
2-74	084170
2-74	000170
2-74	242690
2-74	108400
2-74	017110
2-74	108520
2-74	017030
2-82	004260
2-82	016560
2-82	066870
2-82	004290
2-82	001400
2-82	066920
2-82	017060
2-82	109310
2-82	055780
2-82	01029210
2-83	426230
2-83	199400
2-83	202130
2-83	398570
2-83	196990
2-83	474670
2-83	001230
2-83	248280
2-83	121050
2-83	01014950
2-84	327450
2-84	039440
2-84	031350
2-84	326980
2-84	001150
2-84	108970
2-84	032240
2-84	084160
2-84	084170
2-84	017030
2-85	031270
2-85	032240
2-85	184510
2-85	151310
2-85	323970
2-85	110070
2-85	112260
2-85	003090
2-85	108520
2-85	527370
2-86	002660
2-86	001220
2-86	000020
2-86	000070
2-86	000100
2-86	032250
2-86	085110
2-86	055790
2-86	001590
2-86	527370
2-87	152640
2-87	152650
2-87	002660
2-87	132640
2-87	004300
2-87	032260
2-87	032250
2-87	032290
2-87	004490
2-87	000070
2-88	152640
2-88	002660
2-88	152680
2-88	000070
2-88	000100
2-88	004300
2-88	152760
2-88	004490
2-88	032290
2-88	322720
2-89	065900
2-89	152660
2-89	323750
2-89	084170
2-89	151270
2-89	446920
2-89	447250
2-89	002290
2-89	229030
2-89	151260
2-94	001960
2-94	030110
2-94	030140
2-94	003470
2-94	002710
2-94	002080
2-94	001230
2-94	028970
2-94	112010
2-94	527370
3-16	154330
3-16	154310
3-16	344680
3-16	017810
3-16	336030
3-16	342090
3-16	185720
3-16	242710
3-16	031550
3-16	055740
3-17	000070
3-17	002660
3-17	000080
3-17	152640
3-17	152650
3-17	000020
3-17	000140
3-17	000100
3-17	055540
3-17	032250
3-18	032830
3-18	154420
3-18	233540
3-18	038460
3-18	108480
3-18	016980
3-18	016930
3-18	388410
3-18	065130
3-18	527370
3-19	111980
3-19	016960
3-19	038060
3-19	000160
3-19	151270
3-19	342080
3-19	242710
3-19	108400
3-19	362140
3-19	362140
3-20	021770
3-20	212460
3-20	002100
3-20	084170
3-20	084160
3-20	002340
3-20	193850
3-20	117030
3-20	482780
3-20	103810
3-21	000030
3-21	242720
3-21	336030
3-21	031550
3-21	079080
3-21	000160
3-21	150870
3-21	036240
3-21	352690
3-21	01013360
3-22	185720
3-22	038110
3-22	081750
3-22	242710
3-22	162430
3-22	293810
3-22	212790
3-22	291980
3-22	031550
3-22	133930
3-23	002690
3-23	003020
3-23	003070
3-23	342060
3-23	342430
3-23	342170
3-23	341960
3-23	343320
3-23	001600
3-23	527370
3-24	032830
3-24	155340
3-24	017810
3-24	035880
3-24	356960
3-24	103760
3-24	332420
3-24	055740
3-24	031550
3-24	242710
3-25	185720
3-25	081750
3-25	348960
3-25	346900
3-25	003720
3-25	01005160
3-25	242710
3-25	000160
3-25	012510
3-25	353760
3-33	284430
3-33	035370
3-33	108400
3-33	031540
3-33	109370
3-33	109310
3-33	017060
3-33	038130
3-33	466650
3-33	098700
3-34	154330
3-34	000300
3-34	032830
3-34	154310
3-34	103770
3-34	031360
3-34	242720
3-34	323730
3-34	242710
3-34	000160
3-35	247060
3-35	033530
3-35	004810
3-35	005160
3-35	104440
3-35	004930
3-35	004410
3-35	268720
3-35	097980
3-35	527370
3-36	154330
3-36	001160
3-36	103720
3-36	133950
3-36	01011830
3-36	103760
3-36	233700
3-36	279480
3-36	348050
3-36	01002370
3-37	029790
3-37	154330
3-37	116880
3-37	154420
3-37	002070
3-37	279100
3-37	395830
3-37	103760
3-37	233620
3-37	01002370
3-38	446120
3-38	080460
3-38	017110
3-38	446190
3-38	004380
3-38	233620
3-38	103770
3-38	279100
3-38	466650
3-38	527370
3-39	004810
3-39	004930
3-39	037670
3-39	005020
3-39	004410
3-39	056330
3-39	270030
3-39	007950
3-39	355160
3-39	01002740
3-40	154330
3-40	001160
3-40	233710
3-40	103720
3-40	415730
3-40	01011830
3-40	056330
3-40	103760
3-40	133070
3-40	133950
3-41	152640
3-41	002660
3-41	152650
3-41	000080
3-41	233620
3-41	000070
3-41	000100
3-41	003030
3-41	032250
3-41	031420
3-42	437970
3-42	437950
3-42	233660
3-42	002060
3-42	020580
3-42	437900
3-42	084170
3-42	437820
3-42	446270
3-42	000200
3-43	002070
3-43	341510
3-43	029790
3-43	132890
3-43	004320
3-43	133570
3-43	016690
3-43	224890
3-43	279670
3-43	233620
3-44	437580
3-44	032830
3-44	029790
3-44	002000
3-44	154330
3-44	154420
3-44	279100
3-44	103770
3-44	233620
3-44	527370
3-45	395050
3-45	256750
3-45	006120
3-45	021020
3-45	234670
3-45	003250
3-45	021060
3-45	037640
3-45	117110
3-45	134660
3-46	037530
3-46	056330
3-46	000400
3-46	004370
3-46	017790
3-46	279480
3-46	01002370
3-46	344680
3-46	103760
3-46	056090
3-47	017120
3-47	268600
3-47	084620
3-47	268720
3-47	214880
3-47	336930
3-47	131800
3-47	006520
3-47	389940
3-47	01002370
3-48	154330
3-48	103770
3-48	031360
3-48	108480
3-48	336030
3-48	290890
3-48	437390
3-48	103760
3-48	338860
3-48	527370
3-49	254810
3-49	037050
3-49	017150
3-49	294140
3-49	214880
3-49	007570
3-49	155540
3-49	065580
3-49	294810
3-49	01002370
3-50	154330
3-50	154310
3-50	103720
3-50	233780
3-50	133070
3-50	233730
3-50	242710
3-50	01011830
3-50	162710
3-50	004320
3-51	154330
3-51	004200
3-51	103760
3-51	332420
3-51	055740
3-51	031550
3-51	356960
3-51	353190
3-51	351930
3-51	01002370
3-52	000080
3-52	152650
3-52	000020
3-52	152640
3-52	003030
3-52	003070
3-52	003020
3-52	000100
3-52	000070
3-52	001600
3-53	001160
3-53	103720
3-53	055600
3-53	259600
3-53	056330
3-53	279480
3-53	103760
3-53	133950
3-53	133040
3-53	336030
3-54	036100
3-54	317510
3-54	341960
3-54	001230
3-54	135830
3-54	342100
3-54	103830
3-54	039250
3-54	484900
3-54	527370
3-55	093600
3-55	244180
3-55	290550
3-55	089930
3-55	108940
3-55	108810
3-55	409420
3-55	319320
3-55	01024960
3-55	01006800
3-56	004290
3-56	066860
3-56	001460
3-56	004260
3-56	039250
3-56	466650
3-56	345050
3-56	342320
3-56	152800
3-56	527370
3-57	002690
3-57	003070
3-57	003020
3-57	341960
3-57	152800
3-57	317510
3-57	287830
3-57	342170
3-57	343320
3-57	031620
3-58	193230
3-58	004290
3-58	070970
3-58	001460
3-58	003080
3-58	289110
3-58	455250
3-58	071150
